#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score
1	NM_212967	chr1	+	16683984	16829776	16686354	16829571	27	16683984,16686329,16719712,16742433,16752909,16756136,16758973,16786807,16787353,16788254,16793455,16794086,16798525,16803278,16804363,16805179,16805407,16807185,16812066,16813341,16814583,16816661,16817853,16818910,16820228,16822132,16828900,	16684084,16689613,16720027,16742495,16753239,16756347,16759113,16787083,16787564,16792325,16793652,16794240,16798759,16803668,16804578,16805317,16805551,16807383,16812889,16813473,16814741,16817118,16818007,16819021,16820875,16822270,16829776,	0
1	NM_001309523	chr1	+	50325108	50347090	50325458	50346779	9	50325108,50333899,50336075,50339967,50341277,50342275,50343660,50343907,50346656,	50325512,50333998,50336172,50340143,50341400,50342452,50343774,50343997,50347090,	0
1	NM_001159372	chr1	+	41578551	42333915	41578551	42333915	16	41578551,41673742,41685105,41689789,41773609,42148992,42181740,42278749,42280929,42290129,42308227,42314847,42321550,42322417,42329249,42333627,	41578653,41673938,41685272,41690056,41773813,42149073,42181893,42278842,42281086,42290330,42308379,42314961,42321732,42322523,42329384,42333915,	0
9	NM_001328558	chr1	-	5100814	5331098	5101012	5284733	23	5100814,5119640,5142747,5155602,5157445,5157846,5178319,5184606,5203612,5213062,5214942,5220867,5234587,5241697,5256706,5258590,5265366,5268666,5271479,5284677,5293295,5326857,5331078,	5101352,5119711,5142856,5155866,5157553,5157888,5178503,5184822,5203657,5213175,5215072,5220997,5234761,5241883,5256832,5258730,5265794,5268792,5271566,5284769,5293396,5327026,5331098,	0
10	NM_001135971	chr1	+	9434343	9439786	9434411	9439695	2	9434343,9439539,	9434918,9439786,	0
10	NM_001099343	chr1	+	11508929	11541317	11510145	11540894	18	11508929,11510144,11511300,11512735,11512964,11514214,11516772,11519135,11519487,11521966,11524554,11524839,11525062,11526333,11527016,11527989,11528515,11540673,	11508972,11510352,11511445,11512889,11513044,11514393,11517203,11519399,11519674,11522078,11524757,11524974,11525146,11526468,11527127,11528420,11528676,11541317,	0
10	NM_001115058	chr1	-	12574320	12584285	12574935	12583850	4	12574320,12578484,12581015,12581360,	12575591,12578654,12581071,12584285,	0
10	NM_213105	chr1	+	11508922	11541317	11512869	11540894	12	11508922,11510144,11511300,11512735,11512861,11512964,11514214,11516772,11519135,11528300,11528515,11540673,	11508972,11510352,11511445,11512745,11512889,11513044,11514393,11517203,11519159,11528420,11528676,11541317,	0
11	NM_001162486	chr1	-	18869814	18906296	18870569	18906296	49	18869814,18873381,18873704,18876533,18876753,18877089,18877431,18878145,18879622,18880080,18880236,18881393,18881543,18881829,18882750,18883469,18883682,18883815,18884839,18885012,18885262,18885509,18886004,18886237,18886369,18887561,18887811,18888102,18891149,18891379,18891958,18894130,18894456,18895901,18896109,18896361,18896573,18897102,18897831,18898083,18898255,18898496,18898661,18900108,18900364,18904544,18904819,18905367,18906274,	18870709,18873534,18873793,18876639,18876898,18877282,18877475,18878357,18879814,18880147,18880328,18881460,18881633,18881922,18882901,18883588,18883730,18883921,18884919,18885180,18885380,18885578,18886119,18886292,18886515,18887685,18887913,18888275,18891291,18891514,18892050,18894350,18894537,18896025,18896213,18896484,18896640,18897152,18897907,18898169,18898375,18898575,18898801,18900280,18900511,18904663,18904936,18905498,18906296,	0
11	NM_001301358	chr1	-	20917311	21021090	20919021	21021067	9	20917311,20919680,20921804,20946255,20953644,20955643,20955951,21016459,21021005,	20919605,20919798,20921900,20946291,20953815,20955781,20956010,21017079,21021090,	0
